model,key,image,category,word_P,word_R,word_F1,char_sim,vl_tables,model_tables,table_recall
PP-OCRv6_small,ocrv6_small,agenda_01.jpg,agenda,0.8837209302325582,0.95,0.9156626506024096,0.9405099150141643,0,0,
PP-OCRv6_small,ocrv6_small,agenda_02.jpg,agenda,0.8888888888888888,1.0,0.9411764705882353,0.940983606557377,1,0,0.0
PP-OCRv6_small,ocrv6_small,agenda_03.jpg,agenda,0.9428571428571428,0.75,0.8354430379746834,0.9559748427672956,3,0,0.0
PP-OCRv6_small,ocrv6_small,agenda_04.jpg,agenda,0.9259259259259259,1.0,0.9615384615384615,0.9549071618037135,1,0,0.0
PP-OCRv6_small,ocrv6_small,agenda_05.jpg,agenda,1.0,1.0,1.0,1.0,4,0,0.0
PP-OCRv6_small,ocrv6_small,agenda_06.jpg,agenda,0.5789473684210527,1.0,0.7333333333333334,0.6723044397463002,1,0,0.0
PP-OCRv6_small,ocrv6_small,agenda_07.jpg,agenda,0.9891304347826086,0.9680851063829787,0.9784946236559139,0.8705882352941177,1,0,0.0
PP-OCRv6_small,ocrv6_small,agenda_08.jpg,agenda,0.9885057471264368,0.9885057471264368,0.9885057471264368,0.9451985922574158,0,0,
PP-OCRv6_small,ocrv6_small,agenda_09.jpg,agenda,0.9281437125748503,0.9810126582278481,0.9538461538461538,0.8963350785340314,3,0,0.0
PP-OCRv6_small,ocrv6_small,agenda_10.jpg,agenda,0.7857142857142857,1.0,0.88,0.9137931034482759,0,0,
PP-OCRv6_small,ocrv6_small,agenda_11.jpg,agenda,0.5483870967741935,1.0,0.7083333333333333,0.7159763313609467,0,0,
PP-OCRv6_small,ocrv6_small,agenda_12.jpg,agenda,0.96875,0.96875,0.96875,0.9919786096256684,1,0,0.0
PP-OCRv6_small,ocrv6_small,agenda_13.jpg,agenda,0.9113924050632911,0.96,0.935064935064935,0.8402366863905325,2,0,0.0
PP-OCRv6_small,ocrv6_small,agenda_14.jpg,agenda,0.9495798319327731,1.0,0.9741379310344828,0.7903225806451613,3,0,0.0
PP-OCRv6_small,ocrv6_small,agenda_15.jpg,agenda,0.9508196721311475,1.0,0.9747899159663865,0.9696541990119972,4,0,0.0
PP-OCRv6_small,ocrv6_small,agenda_16.jpg,agenda,0.7647058823529411,0.6419753086419753,0.697986577181208,0.8542094455852156,0,0,
PP-OCRv6_small,ocrv6_small,agenda_17.jpg,agenda,1.0,1.0,1.0,0.8385964912280702,4,0,0.0
PP-OCRv6_small,ocrv6_small,agenda_18.jpg,agenda,0.9133858267716536,0.90625,0.9098039215686274,0.3568019093078759,1,0,0.0
PP-OCRv6_small,ocrv6_small,agenda_19.jpg,agenda,0.5957446808510638,1.0,0.7466666666666666,0.5848563968668408,4,0,0.0
PP-OCRv6_small,ocrv6_small,agenda_20.jpg,agenda,0.9868421052631579,0.9202453987730062,0.9523809523809523,0.7908745247148289,1,0,0.0
PP-OCRv6_small,ocrv6_small,agenda_21.jpg,agenda,0.8842105263157894,1.0,0.9385474860335195,0.6671469740634006,0,0,
PP-OCRv6_small,ocrv6_small,agenda_22.jpg,agenda,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9503355704697987,0,0,
PP-OCRv6_small,ocrv6_small,agenda_23.jpg,agenda,0.9726027397260274,0.9861111111111112,0.9793103448275863,0.9892357373519914,1,0,0.0
PP-OCRv6_small,ocrv6_small,form_01.jpg,form,0.9076923076923077,0.833922261484099,0.8692449355432781,0.5080771235018239,2,0,0.0
PP-OCRv6_small,ocrv6_small,form_02.jpg,form,0.03773584905660377,1.0,0.07272727272727272,0.1,0,0,
PP-OCRv6_small,ocrv6_small,form_03.jpg,form,0.8977272727272727,0.8020304568527918,0.8471849865951742,0.3458715596330275,0,0,
PP-OCRv6_small,ocrv6_small,form_04.jpg,form,0.9612403100775194,0.9253731343283582,0.9429657794676807,0.4982248520710059,1,0,0.0
PP-OCRv6_small,ocrv6_small,form_05.jpg,form,0.8618925831202046,0.8618925831202046,0.8618925831202044,0.2444947520065857,0,0,
PP-OCRv6_small,ocrv6_small,form_06.jpg,form,0.01644736842105263,1.0,0.032362459546925564,0.03043691703485518,1,0,0.0
PP-OCRv6_small,ocrv6_small,form_07.jpg,form,0.8931297709923665,0.823943661971831,0.8571428571428571,0.9100817438692098,0,0,
PP-OCRv6_small,ocrv6_small,form_08.jpg,form,0.9320843091334895,0.9045454545454545,0.9181084198385236,0.3260624294847687,1,0,0.0
PP-OCRv6_small,ocrv6_small,form_09.jpg,form,0.9393939393939394,0.9441624365482234,0.9417721518987343,0.4746317512274959,4,0,0.0
PP-OCRv6_small,ocrv6_small,form_10.jpg,form,0.8714285714285714,0.8905109489051095,0.8808664259927799,0.735476898135639,4,0,0.0
PP-OCRv6_small,ocrv6_small,form_11.jpg,form,0.627906976744186,0.9507042253521126,0.7563025210084033,0.43161634103019536,2,0,0.0
PP-OCRv6_small,ocrv6_small,form_12.jpg,form,0.6827956989247311,0.9407407407407408,0.7912772585669782,0.4898785425101215,1,0,0.0
PP-OCRv6_small,ocrv6_small,form_13.jpg,form,0.9602888086642599,0.8896321070234113,0.923611111111111,0.7687400318979266,1,0,0.0
PP-OCRv6_small,ocrv6_small,form_14.jpg,form,0.9569230769230769,0.9628482972136223,0.9598765432098764,0.5526619036644388,1,0,0.0
PP-OCRv6_small,ocrv6_small,form_15.jpg,form,0.9211195928753181,0.8894348894348895,0.905,0.49807735806378645,2,0,0.0
PP-OCRv6_small,ocrv6_small,form_16.jpg,form,0.20276497695852536,1.0,0.3371647509578544,0.323499491353001,0,0,
PP-OCRv6_small,ocrv6_small,form_17.jpg,form,0.9451219512195121,0.842391304347826,0.8908045977011495,0.69803250641574,1,0,0.0
PP-OCRv6_small,ocrv6_small,form_18.jpg,form,0.8611111111111112,0.8732394366197183,0.8671328671328671,0.581772784019975,0,0,
PP-OCRv6_small,ocrv6_small,form_19.jpg,form,0.7906976744186046,0.9855072463768116,0.8774193548387097,0.7523629489603024,0,0,
PP-OCRv6_small,ocrv6_small,form_20.jpg,form,0.9060402684563759,0.7714285714285715,0.8333333333333333,0.7012468827930175,4,0,0.0
PP-OCRv6_small,ocrv6_small,form_21.jpg,form,0.591743119266055,0.9847328244274809,0.7392550143266475,0.34810415714938325,0,0,
PP-OCRv6_small,ocrv6_small,form_22.jpg,form,0.5994318181818182,0.4271255060728745,0.49881796690307323,0.2095339736748488,1,0,0.0
PP-OCRv6_small,ocrv6_small,form_23.jpg,form,0.7931034482758621,0.8702702702702703,0.8298969072164949,0.7750773309765797,1,0,0.0
PP-OCRv6_small,ocrv6_small,invoice_01.jpg,invoice,0.9655172413793104,0.875,0.9180327868852458,0.7743589743589744,1,0,0.0
PP-OCRv6_small,ocrv6_small,invoice_02.jpg,invoice,0.9230769230769231,0.96,0.9411764705882353,0.996742671009772,1,0,0.0
PP-OCRv6_small,ocrv6_small,invoice_03.jpg,invoice,0.9,1.0,0.9473684210526316,0.8831168831168831,1,0,0.0
